"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","R2","BALLROOM RIGGER","RIGGING","LABOR","4/11/2013 12:00:00 AM","400.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","VU","VIDEO UTILITY","VIDEO","LABOR","4/11/2013 12:00:00 AM","400.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","VP2","VIDEO PROJECTIONIST","VIDEO","LABOR","4/11/2013 12:00:00 AM","200.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","R1000","RIGGING POINT - EXISTING","RIGGING","MISC","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","LIGHT1","LIGHTING CABLE PACKAGE 1","LIGHTING CABLES","RENTAL","4/11/2013 12:00:00 AM","50.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","130257","EXPRESSION 3 ETC","LIGHTING CONSOLE","RENTAL","4/11/2013 12:00:00 AM","43.7500","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120139","SOURCE 4 BODY ETC","CONVENTIONAL LIGHTING","RENTAL","4/11/2013 12:00:00 AM","78.7500","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","130223","SOURCE 4 PAR ETC","CONVENTIONAL LIGHTING","RENTAL","4/11/2013 12:00:00 AM","52.5000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","131077","LIGHT FIXTURE FLOOR STAND","LIGHTING ACCESSORIES","RENTAL","4/11/2013 12:00:00 AM","15.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120008","10' X 12'' BOX TRUSS - TOMCAT","TRUSS","RENTAL","4/11/2013 12:00:00 AM","300.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120299","SAND BAG","WEIGHT","RENTAL","4/11/2013 12:00:00 AM","12.5000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120217","1930 SCISSOR LIFT GENIE","LIFTS","RENTAL","4/11/2013 12:00:00 AM","43.7500","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","135234","2' X 2' TRUSS BASE PLATE","TRUSS","RENTAL","4/11/2013 12:00:00 AM","150.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120367","SOURCE 4 19 DEGREE LENS ETC","CONVENTIONAL LIGHTING","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120018","SOURCE 4 26 DEGREE LENS ETC","CONVENTIONAL LIGHTING","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","120026","SOURCE 4 36 DEGREE LENS ETC","CONVENTIONAL LIGHTING","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","130220","SOURCE 4 GOBO HOLDER GLASS","LIGHTING ACCESSORIES","RENTAL","4/11/2013 12:00:00 AM","1.2500","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","135789","25' EDISON LIGHTING CABLE","LIGHTING CABLES","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","100223","25' - 5 PIN DMX","LIGHTING CABLES","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","100251","CUBE TAPS","POWER CABLES","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
"ACADEMY OF COUNTRY MUSIC","ACM AWARDS 2013","MGM","RENTAL","GALA / AWARD SHOW","135788","UNDER 25' EDISON LIGHTING CABLE","LIGHTING CABLES","RENTAL","4/11/2013 12:00:00 AM","0.0000","April","2013","Apr 2013"
